minute_utc,minute_ms,anchor_source,anchor_price,prev_spot_close,prev_index_close,prev_gap_bp,spot_open,spot_low,spot_close,index_low,index_close,filled_layers_proxy,capital_proxy_usd,qty_proxy_btc,entry_proxy,deepest_filled_bp,index_low_edge_proxy_bp,index_close_edge_proxy_bp,levels_json
2026-02-20 13:38:00,1771594680000,prev_completed_binance_index_close,66894.74543478,66899.99,66894.74543478,0.7840025679040075,66899.99,66400.0,66692.79,66705.03086957,66721.90804348,2,4000,0.060095969227376186,66560.20447670616,60,21.75870612214137,24.29433143199322,"[{""offset_bp"":40,""limit_px"":66627.16645304087,""price_through"":true},{""offset_bp"":60,""limit_px"":66493.37696217131,""price_through"":true},{""offset_bp"":80,""limit_px"":66359.58747130175,""price_through"":false},{""offset_bp"":100,""limit_px"":66225.7979804322,""price_through"":false},{""offset_bp"":120,""limit_px"":66092.00848956264,""price_through"":false}]"
2026-02-20 13:39:00,1771594740000,prev_completed_binance_index_close,66721.90804348,66692.79,66721.90804348,-4.364090346611338,66692.79,66280.2,66511.58,66514.43,66526.20869565,2,4000,0.0602516426913625,66388.23144606857,60,19.009175449107296,20.783389853291645,"[{""offset_bp"":40,""limit_px"":66455.02041130608,""price_through"":true},{""offset_bp"":60,""limit_px"":66321.57659521911,""price_through"":true},{""offset_bp"":80,""limit_px"":66188.13277913215,""price_through"":false},{""offset_bp"":100,""limit_px"":66054.68896304519,""price_through"":false},{""offset_bp"":120,""limit_px"":65921.24514695823,""price_through"":false}]"
2026-02-20 13:55:00,1771595700000,prev_completed_binance_index_close,66945.16717391,66945.72,66945.16717391,0.08257893935326166,66945.72,66500.0,66779.51,66789.00847826,66792.90369565,2,4000,0.06005070616491679,66610.3740564654,60,26.817807935317628,27.40258432265774,"[{""offset_bp"":40,""limit_px"":66677.38650521435,""price_through"":true},{""offset_bp"":60,""limit_px"":66543.49617086654,""price_through"":true},{""offset_bp"":80,""limit_px"":66409.60583651872,""price_through"":false},{""offset_bp"":100,""limit_px"":66275.7155021709,""price_through"":false},{""offset_bp"":120,""limit_px"":66141.82516782307,""price_through"":false}]"
2026-02-20 13:57:00,1771595820000,prev_completed_binance_index_close,66905.68695652,66882.34,66905.68695652,-3.4895324421646556,66882.35,66620.0,66756.78,66724.74217391,66781.83065217,1,2000,0.030012876630637036,66638.06420869392,40,13.007275383123407,21.57422265836484,"[{""offset_bp"":40,""limit_px"":66638.06420869392,""price_through"":true},{""offset_bp"":60,""limit_px"":66504.25283478088,""price_through"":false},{""offset_bp"":80,""limit_px"":66370.44146086785,""price_through"":false},{""offset_bp"":100,""limit_px"":66236.6300869548,""price_through"":false},{""offset_bp"":120,""limit_px"":66102.81871304176,""price_through"":false}]"
2026-02-20 14:19:00,1771597140000,prev_completed_binance_index_close,66929.30152174,66923.22,66929.30152174,-0.908648619023511,66922.94,66651.36,66767.21,66782.97869565,66782.97869565,1,2000,0.0300022872323239,66661.58431565303,40,18.21054528529542,18.21054528529542,"[{""offset_bp"":40,""limit_px"":66661.58431565303,""price_through"":true},{""offset_bp"":60,""limit_px"":66527.72571260955,""price_through"":false},{""offset_bp"":80,""limit_px"":66393.86710956607,""price_through"":false},{""offset_bp"":100,""limit_px"":66260.0085065226,""price_through"":false},{""offset_bp"":120,""limit_px"":66126.14990347912,""price_through"":false}]"
2026-02-20 15:02:00,1771599720000,prev_completed_binance_index_close,68018.85978261,68034.01,68018.85978261,2.2273553891394293,68034.01,67584.34,67591.24,67610.22891304,67610.22891304,2,4000,0.05910279260737475,67678.69712303385,60,-10.116656038662297,-10.116656038662297,"[{""offset_bp"":40,""limit_px"":67746.78434347956,""price_through"":true},{""offset_bp"":60,""limit_px"":67610.74662391434,""price_through"":true},{""offset_bp"":80,""limit_px"":67474.70890434911,""price_through"":false},{""offset_bp"":100,""limit_px"":67338.6711847839,""price_through"":false},{""offset_bp"":120,""limit_px"":67202.63346521868,""price_through"":false}]"
2026-02-20 15:16:00,1771600560000,prev_completed_binance_index_close,66805.32978261,66821.04,66805.32978261,2.351641319804365,66821.04,66536.64,66553.53,66558.04021739,66558.04021739,1,2000,0.03005796296565494,66538.10846347956,40,2.995539604402353,2.995539604402353,"[{""offset_bp"":40,""limit_px"":66538.10846347956,""price_through"":true},{""offset_bp"":60,""limit_px"":66404.49780391435,""price_through"":false},{""offset_bp"":80,""limit_px"":66270.88714434912,""price_through"":false},{""offset_bp"":100,""limit_px"":66137.2764847839,""price_through"":false},{""offset_bp"":120,""limit_px"":66003.66582521868,""price_through"":false}]"
2026-02-20 17:47:00,1771609620000,prev_completed_binance_index_close,67268.90347826,67268.1,67268.90347826,-0.11944274671549238,67268.11,66994.2,67130.12,67124.49130435,67139.9423913,1,2000,0.029850822961058267,66999.82786434697,40,18.606531386233804,20.912669691737218,"[{""offset_bp"":40,""limit_px"":66999.82786434697,""price_through"":true},{""offset_bp"":60,""limit_px"":66865.29005739045,""price_through"":false},{""offset_bp"":80,""limit_px"":66730.75225043393,""price_through"":false},{""offset_bp"":100,""limit_px"":66596.21444347741,""price_through"":false},{""offset_bp"":120,""limit_px"":66461.67663652089,""price_through"":false}]"
2026-02-20 18:35:00,1771612500000,prev_completed_binance_index_close,67878.32673913,67874.01,67878.32673913,-0.6359524957944007,67874.01,67583.8,67594.04,67608.34369565,67620.57043478,1,2000,0.02958281715209813,67606.81343217348,40,0.2263475231001344,2.034854463348612,"[{""offset_bp"":40,""limit_px"":67606.81343217348,""price_through"":true},{""offset_bp"":60,""limit_px"":67471.05677869522,""price_through"":false},{""offset_bp"":80,""limit_px"":67335.30012521696,""price_through"":false},{""offset_bp"":100,""limit_px"":67199.5434717387,""price_through"":false},{""offset_bp"":120,""limit_px"":67063.78681826044,""price_through"":false}]"
2026-02-23 01:01:00,1771808460000,prev_completed_binance_index_close,66564.50391304,66571.39,66564.50391304,1.0344983520038653,66571.39,66282.0,66289.29,66294.94195652,66307.89195652,1,2000,0.03016671064111517,66298.24589738784,40,-0.49834514067814695,1.454949373336234,"[{""offset_bp"":40,""limit_px"":66298.24589738784,""price_through"":true},{""offset_bp"":60,""limit_px"":66165.11688956176,""price_through"":false},{""offset_bp"":80,""limit_px"":66031.98788173568,""price_through"":false},{""offset_bp"":100,""limit_px"":65898.8588739096,""price_through"":false},{""offset_bp"":120,""limit_px"":65765.72986608352,""price_through"":false}]"
