start_utc,end_utc,minutes,max_layers,max_capital_proxy_usd,worst_spot_low,min_index_low_edge_proxy_bp,max_index_close_edge_proxy_bp
2026-02-13 14:41:00,2026-02-13 14:41:00,1,1,2000,66884.0,3.6570690146575657,4.961308901820782
2026-02-13 14:50:00,2026-02-13 14:50:00,1,1,2000,67611.68,6.792465119986879,27.57677038528028
2026-02-14 13:17:00,2026-02-14 13:18:00,2,2,4000,69064.6,18.585080388375808,33.18826259984142
2026-02-14 13:21:00,2026-02-14 13:21:00,1,1,2000,69239.56,20.29329243058875,26.447613472881937
2026-02-14 13:23:00,2026-02-14 13:23:00,1,1,2000,69095.73,22.608114120690193,32.52760273505962
2026-02-15 04:02:00,2026-02-15 04:04:00,3,2,4000,69459.35,24.059421512974133,60.739640206943776
2026-02-15 13:29:00,2026-02-15 13:29:00,1,1,2000,69015.11,3.4600228215775353,3.4600228215775353
2026-02-15 17:45:00,2026-02-15 17:45:00,1,3,6000,68280.0,-8.344293609653386,23.81234451542147
2026-02-15 18:45:00,2026-02-15 18:45:00,1,1,2000,68405.69,14.815959324945283,14.861835333390694
2026-02-15 19:05:00,2026-02-15 19:05:00,1,1,2000,68025.85,11.894892860804251,11.894892860804251
2026-02-16 13:28:00,2026-02-16 13:28:00,1,1,2000,68520.07,-16.045586501736153,-13.591294610886262
2026-02-16 15:31:00,2026-02-16 15:32:00,2,2,4000,67445.6,-21.762257614372782,3.508637994158459
2026-02-17 14:32:00,2026-02-17 14:32:00,1,1,2000,67920.32,4.438945729834387,4.438945729834387
2026-02-17 14:38:00,2026-02-17 14:38:00,1,2,4000,67508.97,-12.44635876778255,-12.44635876778255
2026-02-17 14:50:00,2026-02-17 14:50:00,1,1,2000,66734.3,-7.744849493902528,2.8210788986959834
2026-02-18 16:03:00,2026-02-18 16:03:00,1,2,4000,67161.77,-8.676103463469698,-8.676103463469698
2026-02-18 18:42:00,2026-02-18 18:42:00,1,1,2000,66500.0,-4.539152061115992,-2.802328173462376
2026-02-18 21:03:00,2026-02-18 21:03:00,1,1,2000,66053.6,12.223325814748609,12.857525078182608
2026-02-20 13:38:00,2026-02-20 13:39:00,2,2,4000,66280.2,19.009175449107296,24.29433143199322
2026-02-20 13:55:00,2026-02-20 13:55:00,1,2,4000,66500.0,26.817807935317628,27.40258432265774
2026-02-20 13:57:00,2026-02-20 13:57:00,1,1,2000,66620.0,13.007275383123407,21.57422265836484
2026-02-20 14:19:00,2026-02-20 14:19:00,1,1,2000,66651.36,18.21054528529542,18.21054528529542
2026-02-20 15:02:00,2026-02-20 15:02:00,1,2,4000,67584.34,-10.116656038662297,-10.116656038662297
2026-02-20 15:16:00,2026-02-20 15:16:00,1,1,2000,66536.64,2.995539604402353,2.995539604402353
2026-02-20 17:47:00,2026-02-20 17:47:00,1,1,2000,66994.2,18.606531386233804,20.912669691737218
2026-02-20 18:35:00,2026-02-20 18:35:00,1,1,2000,67583.8,0.2263475231001344,2.034854463348612
2026-02-23 01:01:00,2026-02-23 01:01:00,1,1,2000,66282.0,-0.49834514067814695,1.454949373336234
2026-02-23 01:07:00,2026-02-23 01:07:00,1,1,2000,65849.6,-18.400404390812586,-11.52831115344144
2026-02-23 01:09:00,2026-02-23 01:10:00,2,1,2000,65264.16,-13.092843447058966,16.86170284010302
2026-02-23 01:46:00,2026-02-23 01:47:00,2,2,4000,64290.71,-19.65364313113671,66.32065731959402
2026-02-23 17:51:00,2026-02-23 17:51:00,1,1,2000,64180.23,5.092879751511514,5.566774386878137
2026-02-24 01:15:00,2026-02-24 01:16:00,2,4,8000,63508.4,-19.348873297020397,13.244545710888733
2026-02-24 01:39:00,2026-02-24 01:39:00,1,1,2000,64125.21,-1.9578106528028716,-1.533840768555006
2026-02-24 03:03:00,2026-02-24 03:03:00,1,1,2000,63604.43,3.2194171164290353,8.480953707608041
2026-02-24 05:24:00,2026-02-24 05:24:00,1,1,2000,62700.8,5.011723353245401,5.011723353245401
2026-02-24 13:32:00,2026-02-24 13:32:00,1,2,4000,62510.28,10.855388221036044,10.855388221036044
2026-02-25 21:37:00,2026-02-25 21:37:00,1,1,2000,69616.58,4.492469921812958,4.492469921812958
2026-02-25 22:40:00,2026-02-25 22:40:00,1,2,4000,68268.53,-1.5285585423485681,-0.7440717457563029
2026-02-25 22:50:00,2026-02-25 22:50:00,1,1,2000,68095.62,-9.26649731331497,-9.26649731331497
2026-02-26 14:30:00,2026-02-26 14:30:00,1,1,2000,67738.43,-10.239114201819888,-1.6892541658675153
2026-02-26 14:45:00,2026-02-26 14:45:00,1,1,2000,67413.33,-9.09849399978735,-9.09849399978735
2026-02-26 15:12:00,2026-02-26 15:12:00,1,1,2000,67249.7,0.11068426817084642,0.4441690711587398
2026-02-26 15:34:00,2026-02-26 15:34:00,1,1,2000,66761.16,1.8801350437058773,5.723942762607681
2026-02-26 16:50:00,2026-02-26 16:50:00,1,1,2000,66618.27,-12.443875302442509,-12.443875302442509
2026-02-27 09:45:00,2026-02-27 09:45:00,1,1,2000,67331.91,5.957010552839481,6.781141957383774
2026-02-27 22:34:00,2026-02-27 22:34:00,1,2,4000,64914.46,-19.238794490424873,-16.947982359437617
2026-02-28 06:17:00,2026-02-28 06:18:00,2,2,4000,64501.11,-18.723730058267662,14.92387415790608
2026-02-28 06:36:00,2026-02-28 06:36:00,1,2,4000,63607.5,-15.474368348911138,-2.7115643906927556
2026-02-28 06:50:00,2026-02-28 06:50:00,1,1,2000,63465.95,-3.706209219971335,10.436489121810055
